TemperaturaMedia;HumedadRelativaMedia;Riqueza
20,56330623;64,1837042;22,67161084
21,45461343;64,82383385;22,31502492
22,17067999;65,70371223;23,28957407
20,22161858;64,57895547;22,00672016
17,89878253;62,43478001;19,88783291
20,65217041;62,847622;22,09990468
18,78383563;62,34861936;20,44999509
18,49086607;62,23355463;19,49881132
20,94783736;64,74345012;22,19723065
20,46467095;65,07174717;22,84028993
19,04040625;64,98648648;21,07363332
20,03745746;63,93005227;22,37376101
19,12549933;63,4803861;21,77278636
18,55441163;63,84615444;21,19392593
19,93685314;63,66072694;21,88076363
19,61109779;62,71918417;22,08937881
18,06562322;62,15743987;21,43009601
20,12495789;64,10144463;23,06139507
19,7469164;63,01168902;21,54511382
18,20608687;61,23817217;20,04123058
20,28341857;63,95070707;22,31055236
20,97875706;64,17920609;22,93271471
18,96940333;63,79023008;21,49993971
18,96006831;63,35795718;21,5113541
17,59211028;63,1927263;20,35592416
18,43535726;62,72272204;20,32474096
20,68734352;64,59845171;21,43988168
20,38539939;63,50875919;22,41636778
19,47487659;64,31023503;21,48058005
20,63815305;63,97886169;23,15599808
18,4446316;62,83702648;19,89261267
18,72928998;62,36124503;20,00649562
20,59752529;64,91166658;21,90646146
19,08008149;64,05115981;22,31436085
18,77723557;62,05984793;21,56028963
18,73762801;63,79147557;21,76216264
18,89642256;63,72912746;20,57090719
18,47529167;62,52402231;19,91616028
18,00590165;62,75943545;20,79285665
19,01938547;63,59970845;22,69607899
19,75014351;63,94937936;21,45732555
18,65408425;62,38416388;21,25871938
18,86626852;62,5392061;20,71239952
19,57261566;64,58129483;21,80766335
20,43137415;64,00363877;22,06422123
19,80762394;63,08282821;20,59276852
17,73464842;62,38838504;20,02162571
19,44959506;62,95735716;21,6159972
19,09779793;63,00573369;20,72873244
18,06374595;62,151823;19,85737315
18,6974708;63,47185235;21,50842602
21,25790349;65,57914095;22,79138446
19,4366013;62,94084034;20,46234228
19,51177399;63,70236789;21,57234686
19,56760012;63,07101245;21,37369097
19,88584911;64,09457501;22,9153546
18,99251606;63,74462428;21,42821065
19,54586542;63,83097837;21,2195766
19,18629824;62,64325203;21,4313119
20,0694426;64,20739449;21,81684238
19,87181355;62,73676462;21,51701993
18,84975684;64,5145892;22,02472745
19,83076352;64,42517788;21,66372988
19,07382214;63,12498316;21,09417943
19,33545031;63,35820054;21,13556665
22,41678155;66,65343507;24,34024892
20,02381991;63,79830176;21,51759044
20,25744626;63,2753074;22,52428362
19,42358826;63,62711083;21,35353611
20,40317534;64,37141978;22,16833841
18,80941503;62,86743766;21,09119567
21,3563005;64,77563483;22,20958717
18,33713975;62,72801381;20,81891176
19,24437769;64,03454327;21,09751867
20,02688353;63,70807166;21,33648048
20,26810687;65,3855082;22,69529077
20,0168249;64,94497236;22,8805622
18,77261431;62,90376739;20,60479739
19,52601569;63,18857877;20,77111775
19,55752767;63,5695045;21,80235752
19,2697968;63,13522552;21,16922973
20,23987462;64,36751854;22,50032058
18,32737278;63,90130818;20,39708179
19,41588094;62,460171;21,49551985
20,35582791;64,57489587;21,36187796
19,56643004;63,40726125;21,6379854
19,41947559;62,5780136;22,30634263
19,38448174;63,83328341;21,61360252
18,75975988;62,61408666;20,24748277
19,33778689;62,81294787;21,44103223
21,09317346;64,83203018;21,85021564
19,77147878;64,64663519;21,66854279
17,95560862;62,97009837;19,9290068
19,63761881;64,77274259;21,83855063
20,73299723;65,16400907;22,72945854
20,54237202;64,46961682;21,28085648
20,29416578;64,88569771;22,91867167
18,50668168;62,77588971;21,23754117
21,9251374;64,76847185;23,06565639
19,3616537;62,95266371;20,91133092
